country,Total Ecological Footprint,biocapacity,Population (millions),region,hdi,gdpNormalized,area,kmPerCap,biocapnorm,kmPerCapNORM,hdiNORM,gdpNORM
India,1.16,-0.71,1236.69,Asia-Pacific,0.6,1.51385,2973190,2.404,-0.117047029,0.004084319,0.433333333,0.010815441
Indonesia,1.58,-0.32,246.86,Asia-Pacific,0.68,3.68853,1877519,7.605,-0.073574811,0.013438148,0.566666667,0.029826824
"Iran, Islamic Republic of",2.79,-1.89,76.42,Middle East/Central Asia,0.76,7.5111,1628760,21.31326878,-0.248578353,0.038092022,0.7,0.063244312
Iraq,1.88,-1.59,32.78,Middle East/Central Asia,0.65,5.84854,434128,13.243,-0.215138186,0.023577907,0.516666667,0.04870996
Ireland,5.57,-1.83,4.58,European Union,0.91,52.8536,68890,15.041,-0.24189032,0.026811551,0.95,0.459635342
Israel,6.22,-5.87,7.64,Middle East/Central Asia,0.89,33.7189,21640,2.832,-0.692217905,0.004854063,0.916666667,0.292356885
Italy,4.61,-3.53,60.92,European Union,0.87,38.412,297730,4.887,-0.431384601,0.008549914,0.883333333,0.333384679
Jamaica,1.89,-1.46,2.77,Latin America,0.72,5.2263,10830,3.909,-0.200647447,0.006791013,0.633333333,0.043270243
Japan,5.02,-4.3,127.25,Asia-Pacific,0.89,46.2016,364500,2.864,-0.517214363,0.004911614,0.916666667,0.401482547
Jordan,2.1,-1.89,7.01,Middle East/Central Asia,0.75,4.61517,88780,12.664,-0.248578353,0.022536594,0.683333333,0.037927652
Kazakhstan,5.55,-2.14,16.27,Middle East/Central Asia,0.78,11.278,2699700,165.931,-0.276445159,0.298182289,0.733333333,0.096175125
Kenya,1.03,-0.52,43.18,Africa,0.54,1.06211,569140,13.18,-0.095868256,0.023464603,0.333333333,0.006866261
"Korea, Republic of",5.69,-5.01,49,Asia-Pacific,0.89,24.1558,97520,1.990204082,-0.596356092,0.003340121,0.916666667,0.208754811
Kuwait,8.13,-7.58,3.25,Middle East/Central Asia,0.82,41.8305,17820,5.483,-0.882826859,0.0096218,0.8,0.363269726
Kyrgyzstan,1.91,-0.61,5.47,Middle East/Central Asia,0.65,1.11637,191800,35.063,-0.105900306,0.062820464,0.516666667,0.00734061
Lao People's Democratic Republic,1.22,0.4,6.65,Asia-Pacific,0.56,1.23624,230800,34.70676692,0.00668159,0.062179791,0.366666667,0.008388532
Latvia,6.29,3.26,2.06,European Union,0.81,13.732,62090,30.14,0.325477851,0.05396661,0.783333333,0.117628366
Lebanon,3.84,-3.51,4.65,Middle East/Central Asia,0.76,9.14386,10230,2.2,-0.429155256,0.003717432,0.7,0.077518148
Lesotho,1.66,-0.87,2.05,Africa,0.48,1.33842,30360,14.809,-0.134881784,0.026394307,0.233333333,0.009281805
Liberia,1.21,1.35,4.19,Africa,0.42,0.39738,96320,22.988,0.112575453,0.041103971,0.133333333,0.00105509
Libyan Arab Jamahiriya,3.69,-3,6.16,Africa,0.74,5.85943,1759540,285.6396104,-0.372306972,0.513474316,0.666666667,0.048805162
Lithuania,5.83,-0.17,3.03,European Union,0.83,14.3737,62630,20.669,-0.056854728,0.036933325,0.816666667,0.123238205
Luxembourg,15.82,-14.14,0.52,European Union,0.89,114.665,2430,4.673,-1.614051849,0.008165042,0.916666667,1
Macedonia TFYR,3.26,-1.75,2.11,Northern/Eastern Europe,0.74,5.17489,25220,11.95260664,-0.232972942,0.021257177,0.666666667,0.042820809
Madagascar,0.99,1.64,22.29,Africa,0.51,0.45633,581800,26.101,0.144900948,0.0467026,0.283333333,0.00157044
Malawi,0.81,-0.15,15.91,Africa,0.43,0.49384,94280,5.925,-0.054625383,0.010416723,0.15,0.001898358
Malaysia,3.71,-1.3,29.24,Asia-Pacific,0.77,10.2526,328550,11.236,-0.182812691,0.019968383,0.716666667,0.087210922
Mali,1.53,0.05,14.85,Africa,0.41,0.74122,1220190,82.167,-0.032331938,0.14753547,0.116666667,0.004060992
Mauritania,2.54,1.93,3.8,Africa,0.5,1.52439,1030700,271.236,0.177226443,0.487569893,0.266666667,0.010907583
Mauritius,3.46,-2.75,1.24,Africa,0.77,8.81115,2030,1.637,-0.344440166,0.002704895,0.716666667,0.074609547
Mexico,2.89,-1.62,120.85,Latin America,0.75,10.1239,1943950,16.085,-0.218482203,0.028689151,0.683333333,0.086085807
Moldova,1.78,-0.98,3.51,Northern/Eastern Europe,0.68,1.97103,32885,9.368,-0.147143179,0.016608846,0.566666667,0.014812178
Mongolia,6.08,9.58,2.8,Asia-Pacific,0.71,3.73607,1557255,556.162,1.029950708,1,0.616666667,0.030242426
Montenegro,3.78,-0.54,0.62,Northern/Eastern Europe,0.8,7.2516,13450,21.693,-0.0980976,0.038774956,0.766666667,0.060975724
Morocco,1.68,-0.96,32.52,Africa,0.62,3.14943,446300,13.723,-0.144913835,0.024441171,0.466666667,0.02511393
Mozambique,0.87,1.19,25.2,Africa,0.41,0.53882,786380,31.205,0.094740697,0.055881977,0.116666667,0.00229158
Myanmar,1.43,0.41,52.8,Asia-Pacific,0.53,1.11758,652790,12.363,0.007796262,0.021995256,0.316666667,0.007351188
Namibia,2.48,4.4,2.26,Africa,0.62,5.8808,823290,364.287,0.452550487,0.654919078,0.466666667,0.048991982
Nepal,0.98,-0.38,27.47,Asia-Pacific,0.54,0.70007,143350,5.218,-0.080262845,0.009145206,0.333333333,0.003701252
Netherlands,5.28,-4.11,16.71,European Union,0.92,53.5899,33670,2.014,-0.496035591,0.003382917,0.966666667,0.466072189
New Zealand,5.6,4.54,4.46,Asia-Pacific,0.91,37.4883,263310,59.038,0.468155898,0.105938719,0.95,0.325309553
Nicaragua,1.39,0.87,5.99,Latin America,0.63,1.62685,120340,20.09,0.059071186,0.035892013,0.483333333,0.011803304
Niger,1.56,-0.32,17.16,Africa,0.34,0.41091,1266700,73.817,-0.073574811,0.132518268,0,0.001173372
Nigeria,1.16,-0.47,168.83,Africa,0.5,2.61212,910770,5.394,-0.090294895,0.009461737,0.266666667,0.020416684
Norway,4.98,3.19,4.99,Northern/Eastern Europe,0.94,100.172,365107,73.167,0.317675146,0.131349264,1,0.87329999
Oman,7.52,-5.6,3.31,Middle East/Central Asia,0.79,22.6228,309500,93.504,-0.662121755,0.167924695,0.75,0.195353092
Pakistan,0.79,-0.44,179.16,Asia-Pacific,0.53,1.2186,770880,4.302,-0.086950878,0.00749781,0.316666667,0.00823432
Panama,2.79,0.15,3.8,Latin America,0.77,8.41077,74177,19.52,-0.021185216,0.034866886,0.716666667,0.071109364
Papua New Guinea,1.91,2.01,7.17,Asia-Pacific,0.5,1.87121,452860,63.16,0.186143821,0.113352001,0.266666667,0.013939536
Paraguay,4.16,6.36,6.69,Latin America,0.67,3.55731,397300,59.387,0.671026246,0.106566384,0.55,0.028679679
Peru,2.28,1.69,29.99,Latin America,0.73,5.68473,1280000,42.68,0.150474309,0.07651939,0.65,0.047277908
Philippines,1.1,-0.56,96.71,Asia-Pacific,0.66,2.37944,298170,3.083,-0.100326945,0.005305479,0.533333333,0.01838256
Poland,4.44,-2.36,38.21,European Union,0.84,13.7695,306170,8.012,-0.300967948,0.014170124,0.833333333,0.117956197
Portugal,3.88,-2.37,10.6,European Union,0.83,23.2173,91605,8.641,-0.302082621,0.01530136,0.816666667,0.200550301
Qatar,10.8,-9.56,2.05,Middle East/Central Asia,0.85,99.4315,11490,5.604,-1.103531962,0.009839415,0.85,0.866826427
Romania,2.71,-0.39,21.76,European Union,0.79,9.21394,230080,10.573,-0.081377517,0.018775999,0.75,0.078130799
Russian Federation,5.69,1.1,143.17,Northern/Eastern Europe,0.79,13.3202,16376870,114.3875812,0.084708647,0.205483133,0.75,0.114028348
Rwanda,0.87,-0.32,11.46,Africa,0.48,0.62808,24670,2.152,-0.073574811,0.003631106,0.233333333,0.003071905
Saint Kitts and Nevis,4.94,-4.31,0.05,Latin America,0.74,12.9525,260,5.2,-0.518329036,0.009112834,0.666666667,0.110813859
Saint Lucia,2.45,-2.1,0.18,Latin America,0.73,7.7372,610,3.388,-0.27198647,0.005854011,0.65,0.065220913
Saint Vincent and Grenadines,3.11,-1.85,0.11,Latin America,0.72,6.17148,390,3.545454545,-0.244119664,0.006137188,0.633333333,0.051533151
Samoa,2.77,-0.85,0.19,Asia-Pacific,0.7,4.06715,2830,14.894,-0.13265244,0.026547176,0.6,0.033136778
Sao Tome and Principe,1.49,-0.61,0.19,Africa,0.55,1.38453,960,5.052,-0.105900306,0.008846661,0.35,0.009684906
Saudi Arabia,5.61,-5.12,28.29,Middle East/Central Asia,0.83,23.5938,2149690,75.987,-0.608617487,0.136420942,0.816666667,0.203841721
Senegal,1.21,-0.16,13.73,Africa,0.46,1.07927,192530,14.022,-0.055740055,0.024978913,0.2,0.007016276
Serbia,2.7,-1.44,9.55,Northern/Eastern Europe,0.76,6.42618,87460,9.158,-0.198418102,0.016231168,0.7,0.053759777
Sierra Leone,1.24,0,5.98,Africa,0.4,0.49989,72180,12.07,-0.037905299,0.021468305,0.1,0.001951248
Singapore,7.97,-7.92,5.3,Asia-Pacific,0.91,53.1224,709,0.133,-0.920725715,0,0.95,0.461985233
Slovakia,4.06,-1.35,5.45,European Union,0.84,18.1031,48080,8.822,-0.188386052,0.015626883,0.833333333,0.155841187
Slovenia,5.81,-3.47,2.07,European Union,0.88,25.0405,20136,9.727,-0.424696567,0.017254496,0.9,0.216488993
Solomon Islands,1.29,3.08,0.55,Asia-Pacific,0.5,1.64786,27990,50.89,0.305413751,0.091284807,0.266666667,0.011986977
South Africa,3.31,-2.16,52.39,Africa,0.66,8.08987,1213090,23.154,-0.278674504,0.041402517,0.533333333,0.068304008
Spain,3.67,-2.42,46.76,European Union,0.87,32.0087,499603,10.684,-0.307655982,0.018975629,0.883333333,0.277406057
Sri Lanka,1.32,-0.88,21.1,Asia-Pacific,0.75,2.88003,61864,2.931,-0.135996457,0.005032112,0.683333333,0.022758794
Suriname,4.25,85.08,0.54,Latin America,0.71,8.1907,156000,288.888,9.445726133,0.519316439,0.616666667,0.069185479
Swaziland,2.01,-1.14,1.23,Africa,0.53,4.65748,17200,13.98373984,-0.164977935,0.024910103,0.316666667,0.038297532
